batch_size,block_1,block_2,block_3,dropout_rate,growth_rate,init_features,lr,out_activation,weight_decay,job_id,objective,timestamp_submit,timestamp_gather
9,3,5,5,0.2560058999171193,29,11,0.0007633514885250395,softplus,0.0006677555817229686,25,-7.8802821865963955,2860.187000513077,3118.1224279403687
35,3,4,5,0.1990764954650011,27,20,0.0008324239971758082,relu,0.0005225114494604839,26,-2.9031578067553188,3012.410744667053,3274.538759469986
26,3,6,4,0.09416924167200061,29,8,0.009453757092679352,relu,0.00109756571004731,27,-28.87488474032257,3118.7185459136963,3379.8999919891357
37,3,4,5,0.017478521358611113,28,12,0.0032891536449366878,relu,0.00035647907184478055,28,-5.932988438132027,3275.1543986797333,3499.402467727661
43,3,6,5,0.1127717442748992,23,9,0.0006807600094961858,relu,0.001337454209607492,29,-2.843473881907919,3380.69712638855,3599.5233278274536
22,3,6,5,0.16428634134985545,29,12,0.004826784312945476,relu,0.00030267672830174166,30,-25.52803499432256,3500.007406234741,3768.630042076111
44,3,6,5,0.08083704918859337,29,8,0.009454994318341469,relu,0.0004076447667240394,31,-28.874884690979815,3600.1245329380035,3872.248510837555
33,3,6,5,0.11076330019013222,32,40,0.004052288218957023,relu,0.0017285114489295973,32,-24.451907783167275,3769.2393810749054,4077.9245913028717
43,4,6,4,0.11265299398500736,32,16,0.00023814618549763153,relu,0.001226710327101083,33,-4.0896061484008275,3873.7828981876373,4117.688667297363
50,4,6,3,0.07481216062568076,32,8,0.00021750532245043742,relu,0.00020793608997782777,34,-9.84963181354453,4080.2931485176086,4351.782774925232
52,3,6,4,0.11146171983827188,32,11,0.0007112882101540744,relu,0.0007705004431160803,35,-10.380465954390326,4118.298593759537,4402.761213302612
28,3,6,5,0.1382834548697773,29,19,0.00020426385656184117,relu,0.0005447852637742945,37,-3.633367147752498,4403.372030496597,4641.259788036346
47,3,6,5,0.06264409419551166,23,9,0.0006007982310993929,relu,0.00014421816876413493,36,-3.12573065431447,4352.401901721954,4643.29882478714
41,3,6,5,0.12137545457869889,21,10,0.0003842931987624381,relu,0.0001566920508570397,38,-6.716589454006657,4641.995326519012,4872.998096704483
41,3,6,5,0.14325670981757602,27,21,0.0010780825583652219,relu,0.00010998170294960937,39,-6.144600464923769,4643.911734342575,4908.99213886261
